Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0.0,-0.000059,0.884218,-0.000066,0.0,0.0,0.0,-0.005858,88.421753,157.072966,0.0,0.0,-0.075948,-0.024232,0.001282,0.147477,-0.053963,0.024293,-0.125942,0.025636,0.006165,0.244697,-0.067947,-0.024171,-0.107232,0.174482,0.0,-0.067764,0.0,0.0,0.0,-0.110717,-0.174482,0.0,-0.030947,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,0.0,0.0,0.006287,
0.0,-0.000059,0.884127,-0.000066,0.0,1.570796,0.0,0.000001,-0.009071,0.0,0.0,157.079596,-0.078056,-0.024232,0.001328,0.151573,-0.055942,0.024293,-0.127024,0.025636,0.006165,0.246819,-0.068973,-0.024171,-0.106957,0.174482,0.0,-0.067672,0.0,0.0,0.0,-0.110167,-0.174482,0.0,-0.030807,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.001953,-0.004883,-0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,0.0,0.0,0.006287,
0.0,-0.000059,0.884036,-0.000066,0.0,1.570796,0.0,0.000001,-0.009064,0.0,0.0,0.0,-0.080163,-0.024232,0.001373,0.155668,-0.05792,0.024293,-0.128107,0.025636,0.006165,0.248941,-0.069999,-0.024171,-0.106682,0.174482,0.0,-0.067581,0.0,-0.0,0.0,-0.109616,-0.174482,0.0,-0.030666,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,0.0,0.0,0.006287,
-0.0,-0.000059,0.883946,-0.000066,0.0,1.570796,-0.0,0.000001,-0.009071,0.0,0.0,0.0,-0.082271,-0.024232,0.001419,0.159764,-0.059899,0.024293,-0.129189,0.025636,0.006165,0.251063,-0.071025,-0.024171,-0.106407,0.174482,-0.0,-0.067489,0.0,0.0,0.0,-0.109066,-0.174482,0.0,-0.030526,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,0.0,0.0,0.006287,
0.0,-0.000059,0.883871,-0.000066,0.0,1.570796,0.0,0.0,-0.007507,0.0,0.0,0.0,-0.082594,-0.024232,0.001465,0.160406,-0.060338,0.024293,-0.12955,0.025636,0.006165,0.251771,-0.071648,-0.024171,-0.106132,0.174482,-0.0,-0.067398,0.0,0.0,0.0,-0.108516,-0.174482,0.0,-0.030385,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,-0.0,0.0,0.006238,
0.0,-0.000059,0.883803,-0.000066,0.0,1.570796,0.0,0.0,-0.006729,0.0,0.0,0.0,-0.082026,-0.024232,0.001511,0.159323,-0.060008,0.024293,-0.12955,0.025636,0.006165,0.251771,-0.07207,-0.024171,-0.105857,0.174482,0.0,-0.067306,0.0,0.0,0.0,-0.107966,-0.174482,0.0,-0.030245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,-0.0,-0.000064,0.0,-0.000192,0.0,0.0,0.0,0.006165,
0.0,-0.000059,0.883736,-0.000066,0.0,1.570796,0.0,0.0,-0.006729,0.0,0.0,0.0,-0.081458,-0.024232,0.001556,0.158239,-0.059679,0.024293,-0.12955,0.025636,0.006165,0.251771,-0.072491,-0.024171,-0.105582,0.174482,-0.0,-0.067214,-0.0,-0.0,-0.0,-0.107416,-0.174482,0.0,-0.030105,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,-0.0,0.0,0.006092,
0.0,-0.000059,0.883677,-0.000066,0.0,1.570796,0.0,0.0,-0.005905,0.0,0.0,0.0,-0.080768,-0.024232,0.001587,0.156904,-0.059245,0.024293,-0.129501,0.025636,0.006165,0.251672,-0.072858,-0.024171,-0.105301,0.174482,0.0,-0.06712,0.0,0.0,0.0,-0.106878,-0.174482,0.0,-0.029964,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,0.0,0.0,0.006012,
0.0,-0.000059,0.883634,-0.000066,0.0,1.570796,0.0,0.0,-0.004265,0.0,0.0,0.0,-0.079833,-0.024232,0.001587,0.155067,-0.058604,0.024293,-0.129354,0.025636,0.006165,0.251377,-0.073114,-0.024171,-0.105008,0.174482,-0.0,-0.067019,0.0,0.0,-0.0,-0.106364,-0.174482,-0.0,-0.029824,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,0.0,0.0,0.005921,
-0.0,-0.000059,0.883592,-0.000066,0.0,1.570796,-0.0,0.0,-0.004257,0.0,0.0,0.0,-0.078899,-0.024232,0.001587,0.153231,-0.057963,0.024293,-0.129208,0.025636,0.006165,0.251082,-0.073371,-0.024171,-0.104714,0.174482,0.0,-0.066918,0.0,0.0,0.0,-0.105851,-0.174482,0.0,-0.029683,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,0.0,0.0,0.005829,
0.0,-0.000059,0.883549,-0.000066,0.0,1.570796,0.0,0.0,-0.004257,0.0,0.0,0.0,-0.077964,-0.024232,0.001587,0.151394,-0.057322,0.024293,-0.129061,0.025636,0.006165,0.250786,-0.073627,-0.024171,-0.104421,0.174482,0.0,-0.066817,0.0,0.0,0.0,-0.105338,-0.174482,0.0,-0.029543,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,-0.0,0.0,0.0,0.005737,
0.0,-0.000059,0.883506,-0.000066,0.0,1.570796,0.0,0.0,-0.004265,0.0,0.0,0.0,-0.077964,-0.024232,0.001587,0.151394,-0.057615,0.024293,-0.129336,0.025636,0.006092,0.25134,-0.074305,-0.024171,-0.104164,0.174482,-0.0,-0.066717,0.0,0.0,0.0,-0.104971,-0.174482,0.0,-0.029415,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,0.0,0.0,0.005737,
0.0,-0.000059,0.883464,-0.000066,0.0,1.570796,0.0,0.0,-0.004257,0.0,0.0,0.0,-0.077964,-0.024232,0.001587,0.151394,-0.057908,0.024293,-0.129611,0.025636,0.006018,0.251894,-0.074983,-0.024171,-0.103907,0.174482,0.0,-0.066616,0.0,0.0,0.0,-0.104604,-0.174482,0.0,-0.029287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,0.0,0.0,0.005737,
0.0,-0.000059,0.883421,-0.000066,0.0,1.570796,0.0,0.0,-0.004265,0.0,0.0,0.0,-0.077964,-0.024232,0.001587,0.151394,-0.058201,0.024293,-0.129886,0.025636,0.005945,0.252448,-0.075661,-0.024171,-0.103651,0.174482,0.0,-0.066515,0.0,0.0,0.0,-0.104237,-0.174482,-0.0,-0.029158,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,0.0,0.0,0.005737,
0.0,-0.000059,0.883379,-0.000066,0.0,1.570796,0.0,0.0,-0.004257,0.0,0.0,0.0,-0.077866,-0.024232,0.001587,0.151211,-0.05836,0.024293,-0.129917,0.025636,0.005921,0.252497,-0.076095,-0.024171,-0.103382,0.174482,0.0,-0.066372,-0.0,0.0,0.0,-0.103907,-0.174482,0.0,-0.029006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,0.0,0.0,0.005737,
0.0,-0.000059,0.883336,-0.000066,0.0,1.570796,0.0,0.0,-0.004257,0.0,0.0,0.0,-0.07772,-0.024232,0.001587,0.150935,-0.058451,0.024293,-0.129825,0.025636,0.005921,0.252294,-0.076406,-0.024171,-0.103107,0.174482,0.0,-0.066207,-0.0,0.0,0.0,-0.103596,-0.174482,0.0,-0.028841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,0.0,0.0,0.005737,
0.0,-0.000059,0.883293,-0.000066,0.0,1.570796,-0.0,0.0,-0.004265,0.0,0.0,0.0,-0.077573,-0.024232,0.001587,0.15066,-0.058543,0.024293,-0.129734,0.025636,0.005921,0.252091,-0.076718,-0.024171,-0.102832,0.174482,0.0,-0.066042,0.0,0.0,0.0,-0.103284,-0.174482,0.0,-0.028676,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,0.0,0.0,0.005737,
0.0,-0.000059,0.883253,-0.000066,0.0,1.570796,0.0,0.0,-0.004044,0.0,0.0,0.0,-0.077591,-0.024232,0.001587,0.150703,-0.058799,0.024293,-0.129734,0.025636,0.005921,0.252078,-0.077127,-0.024171,-0.102532,0.174482,0.0,-0.065859,0.0,0.0,0.0,-0.102972,-0.174482,0.0,-0.028505,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,0.0,0.0,0.005737,
0.0,-0.000059,0.883217,-0.000066,0.0,1.570796,0.0,0.0,-0.003609,0.0,0.0,0.0,-0.07794,-0.024232,0.001587,0.151382,-0.059386,0.024293,-0.129917,0.025636,0.005921,0.252448,-0.077732,-0.024171,-0.102184,0.174482,0.0,-0.065639,0.0,0.0,0.0,-0.102661,-0.174482,0.0,-0.028322,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.001953,-0.004883,0.0,0.000192,0.0,0.000064,0.0,-0.000064,0.0,-0.000192,0.0,0.0,0.0,0.005737,
